iter	Passed	Remaining
411	3941	34327
412	3949	34299
413	3958	34291
414	3968	34281
415	3977	34270
416	3987	34265
417	3996	34250
418	4006	34242
419	4015	34230
420	4027	34237
421	4039	34248
422	4048	34237
423	4059	34239
424	4069	34231
425	4080	34234
426	4090	34225
427	4099	34215
428	4109	34204
429	4118	34195
430	4128	34187
431	4137	34170
432	4146	34155
433	4156	34151
434	4165	34139
435	4175	34135
436	4185	34126
437	4196	34126
438	4206	34122
439	4216	34117
440	4226	34105
441	4235	34093
442	4244	34082
443	4254	34075
444	4263	34062
445	4273	34055
446	4283	34044
447	4292	34032
448	4301	34018
449	4310	34006
450	4319	33993
451	4328	33975
452	4337	33965
453	4347	33958
454	4357	33950
455	4366	33937
456	4375	33922
457	4384	33907
458	4392	33884
459	4402	33881
460	4412	33876
461	4421	33859
462	4430	33844
463	4440	33841
464	4450	33830
465	4459	33822
466	4469	33813
467	4479	33803
468	4487	33788
469	4496	33773
470	4506	33764
471	4516	33757
472	4526	33751
473	4537	33750
474	4545	33734
475	4556	33730
476	4566	33725
477	4576	33721
478	4588	33729
479	4597	33715
480	4607	33708
481	4617	33705
482	4627	33692
483	4637	33688
484	4647	33680
485	4656	33671
486	4666	33659
487	4675	33650
488	4684	33632
489	4692	33615
490	4702	33605
491	4711	33592
492	4720	33582
493	4729	33567
494	4739	33561
495	4749	33549
496	4758	33540
497	4769	33540
498	4779	33532
499	4788	33519
500	4797	33503
501	4806	33492
502	4816	33484
503	4825	33471
504	4835	33462
505	4844	33451
506	4854	33446
507	4864	33435
508	4873	33424
509	4883	33420
510	4893	33410
511	4903	33402
512	4913	33396
513	4922	33386
514	4931	33374
515	4941	33366
516	4951	33355
517	4960	33341
518	4969	33331
519	4978	33314
520	4988	33307
521	4998	33303
522	5008	33297
523	5018	33288
524	5028	33285
525	5037	33267
526	5047	33266
527	5057	33258
528	5066	33245
529	5076	33236
530	5086	33228
531	5095	33215
532	5105	33208
533	5114	33196
534	5124	33186
535	5133	33176
536	5144	33176
537	5153	33162
538	5162	33150
539	5172	33139
540	5181	33127
541	5191	33120
542	5203	33126
543	5213	33118
544	5222	33109
545	5233	33104
546	5242	33093
547	5252	33085
548	5262	33076
549	5270	33061
550	5279	33044
551	5289	33039
552	5298	33027
553	5306	33009
554	5315	32997
555	5324	32982
556	5333	32969
557	5342	32954
558	5350	32937
559	5359	32921
560	5368	32908
561	5378	32903
562	5387	32889
563	5397	32885
564	5405	32866
565	5414	32852
566	5423	32839
567	5432	32825
568	5442	32815
569	5452	32808
570	5460	32794
571	5472	32794
572	5481	32783
573	5490	32773
574	5499	32760
575	5508	32743
576	5517	32733
577	5527	32727
578	5537	32720
579	5547	32709
580	5556	32700
581	5566	32689
582	5574	32674
583	5584	32666
584	5593	32650
585	5603	32643
586	5612	32634
587	5621	32617
588	5629	32604
589	5638	32590
590	5648	32579
591	5656	32561
592	5664	32545
593	5672	32525
594	5681	32511
595	5689	32496
596	5699	32485
597	5707	32472
598	5716	32455
