iter	F1	Logloss
0	0	0.6528624177
1	0	0.6171076191
2	0	0.5819727809
3	0	0.5523039183
4	0	0.5268925187
5	0	0.5028132017
6	0	0.4790986006
7	0	0.4568632567
8	0	0.4398858918
9	0	0.4216686901
10	0	0.4071153682
11	0	0.3918555651
12	0	0.3805550767
13	0	0.3682461506
14	0	0.3563747552
15	0	0.34563756
16	0	0.3386767868
17	0	0.3303070883
18	0	0.3247648429
19	0	0.3162087345
20	0	0.3088072499
21	0	0.3035184866
22	0	0.2989799864
23	0	0.2940478757
24	0	0.290010228
25	0	0.2848744514
26	0	0.2803197146
27	0	0.2757718879
28	0	0.2717666462
29	0	0.2673094691
30	0	0.2633945725
31	0	0.2608865002
32	0	0.257442261
33	0	0.2551812667
34	0	0.2536127508
35	0	0.2502503958
36	0	0.24736821
37	0	0.2447147505
38	0.002068252327	0.2422828556
39	0.004132231405	0.2410968241
40	0.006191950464	0.2399093942
41	0.007220216606	0.2379642608
42	0.00824742268	0.2361523339
43	0.009268795057	0.2346080196
44	0.009268795057	0.2330718726
45	0.01437371663	0.2321432635
46	0.01538461538	0.2312930962
47	0.01537672988	0.2298921897
48	0.01842374616	0.2285118285
49	0.02146142054	0.2274159097
50	0.02247191011	0.2262440023
51	0.02650356779	0.2251439609
52	0.02746693795	0.2240371771
53	0.02743902439	0.2231595186
54	0.02743902439	0.2224442845
55	0.02844083291	0.221585949
56	0.02942668696	0.2209599615
57	0.02942668696	0.2204451872
58	0.03042596349	0.2198018825
59	0.03142422707	0.2193382342
60	0.03242147923	0.2186032619
61	0.03240506329	0.2181850682
62	0.03836446239	0.217563062
63	0.04225352113	0.2170751587
64	0.04221105528	0.2165672138
65	0.04515805319	0.2160456061
66	0.04609218437	0.2154573419
67	0.04997501249	0.2149902004
68	0.05094905095	0.2147537181
69	0.05289421158	0.2143590045
70	0.05577689243	0.2139813198
71	0.05674464908	0.2137453688
72	0.05771144279	0.2134414239
73	0.06057596822	0.2129895713
74	0.06150793651	0.2126744223
75	0.06429277943	0.212333794
76	0.06426099852	0.2119896926
77	0.06712734452	0.2117119603
78	0.06804733728	0.2114899366
79	0.06808090775	0.2114604284
80	0.06804733728	0.2112423153
81	0.06808090775	0.2110127061
82	0.06998521439	0.2108284994
83	0.0718503937	0.2106196182
84	0.07083128382	0.2103948559
85	0.06988188976	0.2103631224
86	0.07177974435	0.2101195701
87	0.07461953854	0.2098812267
